ID,样本代码,Response_Group,LNRR_24h,LNRR_48h,LNRR_72h,LNRR_cum,OPR_FeP,FeII_FeIII_Ratio,FeII,log_nosZ_norB_Ratio,log_Source_Sink_Ratio,log_Sink_Source_Ratio,log_DNRA_Advantage,NO3,NH4_NO3_Ratio,pH,SOC,Trajectory_cluster,轨迹类型,Sample_ID,NaHCO3_P,DOC,Raw_cluster,_dendrogram_order
30,ATS,Promoted,0.4975507334416593,-0.4090935590010174,-0.4586390626427981,0.0271017655396455,0.9963426027267128,4.939280221913961,23.123013152,0.0499004588860667,0.3557305961000753,-0.3557305961000752,-0.8007517314603454,0.0074367310966449,2.590711235711701,8.798,21.85,Weak / delayed response,延迟促排型,ATS,0.0012465680258565,0.203020965351514,1,10
19,HK,Suppressed,0.1003118210334188,-0.3023455345074103,0.1904159778510424,-0.1419516945771779,1.377290893792615,0.2223376544825414,6.205001040000001,0.3038316418403178,0.1306976433583125,-0.1306976433583125,-0.9187225029471686,0.0076245669291338,0.6749114819912709,6.311999999999999,11.2,Weak / delayed response,延迟促排型,HK,0.1058924932201958,0.2871817838891722,1,11
41,WL,Suppressed,0.1000631720634194,-0.4152958380726052,0.0933657987621066,-0.1101422414887724,0.3254937912152135,5.913700145672156,30.81232928,0.2166157014616936,0.3184479417235052,-0.3184479417235052,-0.6070720100883923,0.0076550167597765,4.433689645635996,8.058,9.66,Weak / delayed response,延迟促排型,WL,0.045936163223617,0.1793745882435934,1,12
14,LZ,Promoted,0.1115580092538153,0.4076934554403325,-0.1430366360758455,0.0436506531436014,1.020478101741959,6.152487964544511,27.195165776,0.2345739200172134,0.4549556101597217,-0.4549556101597217,-0.5193678050746359,0.0073693829678735,0.0294991026629796,9.272,8.426,Weak / delayed response,延迟促排型,LZ,0.0174249724890152,0.2109256468870064,1,13
22,LY,Promoted,0.2769427937817617,0.6301435768190062,-0.0418439353447946,0.1143926935113369,0.3214108551039406,0.3345411546428029,2.509921776,0.0257536381219747,0.3242357511684522,-0.3242357511684522,-0.5358091111959629,0.0088377973052138,2.905983479264444,8.196,27.8,Weak / delayed response,延迟促排型,LY,0.0620297308468711,0.2674984612486834,1,14
1,YY,Promoted,0.1043992213382399,0.2698406786271096,0.3295785955772645,0.1665140856299654,1.107852371601633,0.3843659714670315,5.588016272,0.488045710232009,0.052820989538805,-0.0528209895388051,-1.1180360494087518,0.0132930351786201,1.448768818426598,5.48,19.64,Weak / delayed response,延迟促排型,YY,0.0259021370645345,0.322521878212912,1,15
26,TZ,Promoted,-0.1241745008912638,0.2849789139238569,0.2367819232838318,0.10905446783198,0.9368850475542592,0.4325573185976144,3.70256088,-0.1939320564120318,0.5446350313792769,-0.5446350313792769,-1.941037739362904,0.0098856662256662,0.1040878314886475,4.808,26.3,Weak / delayed response,延迟促排型,TZ,0.1581885915601268,0.6278058184297587,1,16
11,BJ,Promoted,0.2458326603081119,-0.1774296952618614,-0.0516047723297145,0.0172648232482896,0.5670839428904415,0.0628724725893598,0.258445472,0.1000292134746302,0.4302522405845487,-0.4302522405845487,-0.4866453613764877,0.0064777419354838,2.553758587994626,8.782,19.626,Weak / delayed response,延迟促排型,BJ,0.0222801407457335,0.196803909832069,1,17
10,ZY,Promoted,0.1308999626739394,0.0526244369057032,0.1383975821462874,0.1060696098197843,-0.2113934829642741,0.2617296786980305,6.932983632,0.205037972176969,0.2837255359012445,-0.2837255359012444,-0.9046538776151158,0.0104586688444262,5.617969334388262,7.302,36.44,Weak / delayed response,延迟促排型,ZY,0.089533294117647,0.2356568768473124,1,18
36,YC1,Promoted,0.0417387086316559,0.1078056918853419,0.0656433410136126,0.0699691148390087,1.371145085098504,0.5855373009740644,3.0645499936,0.2136874513018268,0.1766373207927002,-0.1766373207927002,-0.4680552717726647,0.0075259698275862,2.298788208150346,8.478,7.959999999999999,Weak / delayed response,延迟促排型,YC1,0.0520533205448424,0.209664862445814,1,19
18,HZ,Promoted,2.656438556207098,-0.8731677087103277,0.2726866330370712,0.3583278183816975,-0.2719321430209338,0.4265671180315627,3.975554352000001,-0.1978477930230133,0.6440977785577511,-0.6440977785577512,-1.2215326972044724,0.0081662031938326,1.338676650816994,6.728,22.64,Mixed response,混合响应型,HZ,0.0993724831524843,0.2156152442009,4,31
3,SQ,Promoted,1.394535895661438,0.3409047072358919,0.0602786930366912,1.080996272963314,0.5222116353770616,4.764997232331288,18.762700752,0.2190062066953022,0.2297995497887854,-0.2297995497887854,-0.4935342913057369,0.0061007774721297,12.39237703938005,8.092,17.12,Mixed response,混合响应型,SQ,0.003960739341353,0.2015927317925634,4,32
15,HF,Promoted,1.1130394984544227,0.2099976509927012,0.5928342924461045,0.5861919539862114,0.1999291049429844,1.111357016287504,8.426864576,0.2864845872245591,0.1354494505715691,-0.1354494505715691,-0.9798578420228534,0.0140124098454493,0.414200691814242,6.906000000000001,26.04,Mixed response,混合响应型,HF,0.0312897837187128,0.2631404774991354,4,33
39,NJ,Promoted,1.389266800948384,0.0549022120963967,0.5064894446437105,0.9280647745066049,0.3136244626013631,0.4828274161975348,7.15289504,0.2467044436057824,0.1326675395038271,-0.1326675395038271,-0.7736259643427416,0.0079020994332818,0.3996509172540452,7.44,11.02,Mixed response,混合响应型,NJ,0.0468592427184466,0.2070068132880384,4,34
17,MH,Promoted,0.7316703154777752,-1.6079737356297317,0.2579414144226526,0.4202895398187155,-0.0211374606827553,0.543298969687483,11.141632992,-0.2655940651058943,0.6950703864455061,-0.6950703864455061,-1.5341255666570344,0.0660333333333333,0.6156797221647323,6.164,105.5,Mixed response,混合响应型,MH,0.1079882170990639,0.6481822061147052,4,35
9,DL,Promoted,0.543176715234068,-0.1076135094922028,0.4846024282694279,0.256488933693225,-0.1852667628923058,0.0797114003125023,2.011517984,0.1654708330697087,0.249297276021625,-0.249297276021625,-0.442878557570143,0.0072702347151239,3.880449861772812,7.292,21.0,Mixed response,混合响应型,DL,0.0565676067423989,0.2082123804602848,4,36
24,CQ,Promoted,0.5442323958878044,-0.0447824919500848,0.4214612531734647,0.2893026307413875,-0.0866539608802862,0.3116064130500716,2.671252208,0.1546198358448359,0.2291816251688855,-0.2291816251688855,-0.7298051018126968,0.0083554943383471,0.5002545940745888,7.622,15.306,Mixed response,混合响应型,CQ,0.0285977144049554,0.2527764763134664,4,37
8,LS1,Promoted,0.7935342290741694,0.0319221620902777,-0.050800562159081,0.3065037814770032,0.1743886753593208,1.684154672899797,12.104693296,0.0346984221855398,0.4973696810176838,-0.4973696810176837,-0.6233817110649298,0.0065445200567091,5.189760752598402,7.572,17.56,Mixed response,混合响应型,LS1,0.028082213592233,0.2913559712701936,4,38
35,TH1,Promoted,0.7332742868236357,0.3472123396366295,0.0245658497152381,0.3513868676072651,-0.2302778526652807,0.5087738563799654,7.319724384,-0.607414483558815,0.8910930064368104,-0.8910930064368104,-2.087535480163901,0.0176235057297154,1.461571046008492,6.218999999999999,30.01,Mixed response,混合响应型,TH1,0.1119580984402994,0.4567514433756895,4,39
34,WH,Promoted,0.8592286510790115,-0.2785119480853851,0.1603694686940277,0.658000638063182,0.3451339462264128,2.513252550319565,29.401863008,-0.0043083364701241,0.3175305788064603,-0.3175305788064603,-0.5828326846246589,0.0072378035217794,6.655837163244277,8.464,12.26,Mixed response,混合响应型,WH,0.0046697072598264,0.3495677614771502,4,40
42,SN,Promoted,1.012143325346426,0.1253709943015554,0.0937131626920792,0.5045617639035808,0.528798349739376,0.6277247689126942,3.649478816,-0.0807297573805701,0.446726327281186,-0.446726327281186,-0.5795959976590863,0.0074409021226415,2.439419794816227,8.294,8.059999999999999,Mixed response,混合响应型,SN,0.083930821199767,0.3184415673587838,4,41
37,XC,Promoted,0.996446639262474,3.242836243857671,0.1639382209274008,1.249903840618026,0.4796072094869783,1.172981981723667,8.836354784,-0.1401305547352944,0.4790302508061447,-0.4790302508061447,-0.5531363699259023,0.0075881586608442,2.702319462068776,8.446000000000002,32.18,Early promotion / switching,早期促排后减弱/反转型,XC,0.0039405266808152,0.2210636910165452,3,24
16,AY,Promoted,1.0185591723485847,1.7199807645357197,-0.2051920704956878,0.7499491251907943,-0.1185039595434129,0.8345729069916354,9.905579216,0.1022424806639159,0.4774740088735816,-0.4774740088735816,-1.1227372212196105,0.0076087700763794,1.080231859834246,6.234,9.22,Early promotion / switching,早期促排后减弱/反转型,AY,0.0105613479932218,0.146136640611556,3,25
