source_row_index,Sample_ID,Sample_Name,Class_Label,Class_Name,feature,shap_value,display_name,feature_value_raw,feature_value_imputed,feature_value_scaled
34,TH1,mean.TH1,1,Promoted,NaHCO3_P,-1.0568177234776153,NaHCO$_3$-P,0.1119580984402994,0.1119580984402994,2.011083309002998
35,YC1,mean.YC1,1,Promoted,NaHCO3_P,-0.1773958509163803,NaHCO$_3$-P,0.0520533205448424,0.0520533205448424,0.3375774525150393
36,XC,mean.XC,1,Promoted,NaHCO3_P,0.5289158117008392,NaHCO$_3$-P,0.0039405266808152,0.0039405266808152,-1.0065063606986913
37,LS2,mean.LS2,1,Promoted,NaHCO3_P,0.34663715678101464,NaHCO$_3$-P,0.0163570501705632,0.0163570501705632,-0.6596371207596612
38,NJ,mean.NJ,1,Promoted,NaHCO3_P,-0.10114507745905664,NaHCO$_3$-P,0.0468592427184466,0.0468592427184466,0.19247517575345877
39,BS,mean.BS,1,Promoted,NaHCO3_P,-0.07942131885245848,NaHCO$_3$-P,0.0453794558550693,0.0453794558550693,0.1511357021886353
40,WL,mean.WL,0,Suppressed_or_neutral,NaHCO3_P,-0.08759396640606851,NaHCO$_3$-P,0.045936163223617,0.045936163223617,0.16668793482090477
41,SN,mean.SN,1,Promoted,NaHCO3_P,-0.6453680612039971,NaHCO$_3$-P,0.083930821199767,0.083930821199767,1.228110493624282
0,YY,mean.YY,1,Promoted,DOC,0.10337815984270542,DOC,0.322521878212912,0.322521878212912,0.19195029795009866
1,BB,mean.BB,1,Promoted,DOC,-0.017931511301765523,DOC,0.2900924522019738,0.2900924522019738,-0.03329483657192694
2,SQ,mean.SQ,1,Promoted,DOC,-0.34898491864921843,DOC,0.2015927317925634,0.2015927317925634,-0.6479875364074309
3,CY,mean.CY,1,Promoted,DOC,-0.5445859774807325,DOC,0.1493031657159772,0.1493031657159772,-1.0111752888223637
4,WZ,mean.WZ,1,Promoted,DOC,1.0436266470329503,DOC,0.5738762711443642,0.5738762711443642,1.937783049644526
5,SH2,mean.SH2,0,Suppressed_or_neutral,DOC,-0.0729472048771906,DOC,0.2753852376212012,0.2753852376212012,-0.13544676875762363
6,WF,mean.WF,1,Promoted,DOC,1.4929890597635724,DOC,0.6940032567198962,0.6940032567198962,2.7721493136838484
7,LS1,mean.LS1,1,Promoted,DOC,-0.013205029784676458,DOC,0.2913559712701936,0.2913559712701936,-0.024518809441619136
8,DL,mean.DL,1,Promoted,DOC,-0.3242226116413064,DOC,0.2082123804602848,0.2082123804602848,-0.6020094283105888
9,ZY,mean.ZY,1,Promoted,DOC,-0.2215602077395846,DOC,0.2356568768473124,0.2356568768473124,-0.41138813028020665
10,BJ,mean.BJ,1,Promoted,DOC,-0.36689860040852723,DOC,0.196803909832069,0.196803909832069,-0.6812492674762993
11,ZQ,mean.ZQ,1,Promoted,DOC,0.39159626584746876,DOC,0.3995705393420228,0.3995705393420228,0.7271073505268196
12,RL,mean.RL,0,Suppressed_or_neutral,DOC,-0.3852664803453914,DOC,0.191893668152484,0.191893668152484,-0.7153543437511842
13,LZ,mean.LZ,1,Promoted,DOC,-0.3140730191742084,DOC,0.2109256468870064,0.2109256468870064,-0.5831638878105854
14,HF,mean.HF,1,Promoted,DOC,-0.11875152540847972,DOC,0.2631404774991354,0.2631404774991354,-0.22049522567309218
15,AY,mean.AY,1,Promoted,DOC,-0.5564310875039098,DOC,0.146136640611556,0.146136640611556,-1.033169029102323
16,MH,mean.MH,1,Promoted,DOC,1.3215849597176752,DOC,0.6481822061147052,0.6481822061147052,2.453889943196514
17,HZ,mean.HZ,1,Promoted,DOC,-0.29653050985700546,DOC,0.2156152442009,0.2156152442009,-0.5505913415846421
18,HK,mean.HK,0,Suppressed_or_neutral,DOC,-0.028819530587629597,DOC,0.2871817838891722,0.2871817838891722,-0.05351147177986634
19,GL,mean.GL,0,Suppressed_or_neutral,DOC,0.26561109308573533,DOC,0.3658912225982966,0.3658912225982966,0.49318084723342837
20,YC2,mean.YC2,1,Promoted,DOC,0.21160885506175311,DOC,0.351454932680915,0.351454932680915,0.39291067706936783
21,LY,mean.LY,1,Promoted,DOC,-0.10244949233110424,DOC,0.2674984612486834,0.2674984612486834,-0.19022596849966433
22,YT1,mean.YT1,0,Suppressed_or_neutral,DOC,-0.37745416331880033,DOC,0.1939821162918422,0.1939821162918422,-0.7008486049837651
23,CQ,mean.CQ,1,Promoted,DOC,-0.15752043778917835,DOC,0.2527764763134664,0.2527764763134664,-0.29248049116823405
24,SY,mean.SY,1,Promoted,DOC,-0.29862078715155105,DOC,0.215056455340735,0.215056455340735,-0.5544725225816421
25,TZ,mean.TZ,1,Promoted,DOC,1.2453624299590735,DOC,0.6278058184297587,0.6278058184297587,2.312361623095484
26,SH1,mean.SH1,1,Promoted,DOC,-0.20606514920369579,DOC,0.2397991340110164,0.2397991340110164,-0.3826172457215767
27,XN,mean.XN,0,Suppressed_or_neutral,DOC,-1.086860938000399,DOC,0.0043380896107613,0.0043380896107613,-2.0180595320803714
28,CF,mean.CF,0,Suppressed_or_neutral,DOC,-0.10586648442133846,DOC,0.2665850048760398,0.2665850048760398,-0.19657056440668724
29,ATS,mean.ATS,1,Promoted,DOC,-0.343642284977708,DOC,0.203020965351514,0.203020965351514,-0.6380674514819008
30,YT2,mean.YT2,1,Promoted,DOC,1.0221658078029943,DOC,0.5681391960095082,0.5681391960095082,1.8979350344475336
31,JC,mean.JC,1,Promoted,DOC,-0.3601138352366393,DOC,0.1986176649767952,0.1986176649767952,-0.6686514644369833
32,XY,mean.XY,0,Suppressed_or_neutral,DOC,0.018326680707976287,DOC,0.2997852684793338,0.2997852684793338,0.03402857845104721
33,WH,mean.WH,1,Promoted,DOC,0.2045494603612485,DOC,0.3495677614771502,0.3495677614771502,0.37980294794968744
34,TH1,mean.TH1,1,Promoted,DOC,0.6054944909263834,DOC,0.4567514433756895,0.4567514433756895,1.1242688795902718
35,YC1,mean.YC1,1,Promoted,DOC,-0.3187892711946274,DOC,0.209664862445814,0.209664862445814,-0.5919209210360231
36,XC,mean.XC,1,Promoted,DOC,-0.27614935074456465,DOC,0.2210636910165452,0.2210636910165452,-0.5127480527298789
37,LS2,mean.LS2,1,Promoted,DOC,-0.34472670554622675,DOC,0.2027310697788054,0.2027310697788054,-0.6400809797894961
38,NJ,mean.NJ,1,Promoted,DOC,-0.3287323108619603,DOC,0.2070068132880384,0.2070068132880384,-0.6103829388314469
39,BS,mean.BS,1,Promoted,DOC,0.3348876464710692,DOC,0.3844107589312816,0.3844107589312816,0.6218120308751544
40,WL,mean.WL,0,Suppressed_or_neutral,DOC,-0.4320969566623829,DOC,0.1793745882435934,0.1793745882435934,-0.8023081442044803
41,SN,mean.SN,1,Promoted,DOC,0.08811482561919641,DOC,0.3184415673587838,0.3184415673587838,0.16360967400813342
0,YY,mean.YY,1,Promoted,OPR_FeP,-1.2155508822770107,ORP x FeP,1.107852371601633,1.107852371601633,0.9601687329685086
1,BB,mean.BB,1,Promoted,OPR_FeP,0.9573999721019126,ORP x FeP,-0.0072369682494418,-0.0072369682494418,-0.756254247814933
2,SQ,mean.SQ,1,Promoted,OPR_FeP,-0.07432524890467355,ORP x FeP,0.5222116353770616,0.5222116353770616,0.05870982540417113
3,CY,mean.CY,1,Promoted,OPR_FeP,0.5590339549558695,ORP x FeP,0.1971918149341747,0.1971918149341747,-0.4415832624059815
4,WZ,mean.WZ,1,Promoted,OPR_FeP,-1.8595691438486404,ORP x FeP,1.438342081804124,1.438342081804124,1.468881455107683
5,SH2,mean.SH2,0,Suppressed_or_neutral,OPR_FeP,0.8711303583085629,ORP x FeP,0.0370338566061572,0.0370338566061572,-0.6881095185589459
6,WF,mean.WF,1,Promoted,OPR_FeP,0.15894772264938853,ORP x FeP,0.4025033578837514,0.4025033578837514,-0.12555347183707083
7,LS1,mean.LS1,1,Promoted,OPR_FeP,0.6034699475269386,ORP x FeP,0.1743886753593208,0.1743886753593208,-0.4766834390478988
8,DL,mean.DL,1,Promoted,OPR_FeP,1.3043228423589102,ORP x FeP,-0.1852667628923058,-0.1852667628923058,-1.0302900760383285
9,ZY,mean.ZY,1,Promoted,OPR_FeP,1.3552354254799046,ORP x FeP,-0.2113934829642741,-0.2113934829642741,-1.0705061386813555
10,BJ,mean.BJ,1,Promoted,OPR_FeP,-0.1617669591466304,ORP x FeP,0.5670839428904415,0.5670839428904415,0.1277803985539719
11,ZQ,mean.ZQ,1,Promoted,OPR_FeP,0.3409670098978157,ORP x FeP,0.3090968427529596,0.3090968427529596,-0.2693312691809136
12,RL,mean.RL,0,Suppressed_or_neutral,OPR_FeP,-0.634573918897576,ORP x FeP,0.8097134526942272,0.8097134526942272,0.501252596305462
13,LZ,mean.LZ,1,Promoted,OPR_FeP,-1.0452865029514316,ORP x FeP,1.020478101741959,1.020478101741959,0.8256761866256768
14,HF,mean.HF,1,Promoted,OPR_FeP,0.553699856197361,ORP x FeP,0.1999291049429844,0.1999291049429844,-0.4373698354559783
15,AY,mean.AY,1,Promoted,OPR_FeP,1.1742235889689676,ORP x FeP,-0.1185039595434129,-0.1185039595434129,-0.9275241308945341
16,MH,mean.MH,1,Promoted,OPR_FeP,0.9844875657410828,ORP x FeP,-0.0211374606827553,-0.0211374606827553,-0.7776508514807273
17,HZ,mean.HZ,1,Promoted,OPR_FeP,1.4732058233590941,ORP x FeP,-0.2719321430209338,-0.2719321430209338,-1.1636914500582582
